,latitude,longitude,name
291,38.61538617,-121.4234494,2743 ALBATROSS WAY
292,38.51364018,-121.4211919,7060 ROCK CREEK WAY
293,38.62866431,-121.4631893,MABEL ST / FORD RD
294,38.46252937,-121.45850379999999,MCNAMARA WAY / BENOIT CT
295,38.62968232,-121.44611599999999,RIO LINDA BLVD / CARMELITA AVE
296,38.58514056,-121.48543810000001,1328 D ST
297,38.57630105,-121.4319262,BETTY WAY / CAMELLIA AVE
298,38.60527526,-121.4516527,2156 CANTALIER ST
299,38.57848338,-121.47420819999999,2300 G ST
300,38.54102578,-121.46577140000001,3824 12TH AVE
301,38.51348202,-121.53254199999999,HAVENSIDE DR / RIVERSIDE BLVD
302,38.56382548,-121.491401,W ST / 16TH ST
303,38.60739495,-121.42059540000001,1960 JOAN WAY
304,38.57962095,-121.5068273,100 CAPITOL MALL
305,38.6089261,-121.4935886,2305 SANDCASTLE WAY
306,38.62275189,-121.4642874,132 OLMSTEAD DR
307,38.65941872,-121.50964409999999,4780 NATOMAS BLVD
308,38.59530776,-121.4839757,RICHARDS BLVD / DOS RIOS ST
309,38.47433302,-121.43981740000001,5255 MACK RD
310,38.43840598,-121.41833429999998,8775 CENTER PKWY
311,38.54454369,-121.4558291,8TH AVE / 44TH ST
312,38.59645425,-121.4382598,1370 RESPONSE RD
313,38.54061027,-121.4474575,5016 12TH AVE
314,38.51007761,-121.4095726,8024 ELDER CREEK RD
315,38.60027317,-121.4252477,1701 ARDEN WAY
316,38.59808509,-121.4275537,1690 ARDEN WAY
317,38.59530776,-121.4839757,DOS RIOS ST / RICHARDS BLVD
318,38.55614777,-121.4267606,65TH ST / ELVAS AVE
319,38.63228581,-121.4303283,3550 MARYSVILLE BLVD
320,38.44973707,-121.4180465,CALVINE RD / BRUCEVILLE RD
321,38.59664183,-121.423349,1896 ARDEN WAY
322,38.63931448,-121.42957890000001,3927 MARYSVILLE BLVD
323,38.52823386,-121.44564820000001,5100 STOCKTON BLVD
324,38.47602372,-121.5014051,1470 JANRICK AVE
325,38.45541339,-121.4420784,5210 SHORTWAY DR
326,38.58057689,-121.50369679999999,3RD ST / L ST
327,38.57218405,-121.4907608,14TH ST / P ST
328,38.49543922,-121.47997679999999,2460 FLORIN RD
329,38.57163324,-121.4854271,1730 O ST
330,38.52736754,-121.504668,1421 OREGON DR
331,38.52062063,-121.5084967,5824 ANNRUD WAY
332,38.62635393,-121.43920390000001,ARCADE BLVD / CLAY ST
333,38.57320247,-121.4747123,2415 L ST
334,38.57411723,-121.4827193,1831 CAPITOL AVE
335,38.61421301,-121.4925571,2668 STONECREEK DR
336,38.63939388,-121.46048959999999,3950 DEVELOPMENT DR
337,38.57725503,-121.4806992,1901 J ST
338,38.61692679,-121.45935060000001,GROVE AVE / ELEANOR AVE
339,38.57218529,-121.4642683,3140 J ST
340,38.58245363,-121.50527549999998,113 K ST
341,38.53284086,-121.49592179999999,4700 FREEPORT BLVD
342,38.53553572,-121.4468745,4331 STOCKTON BLVD
343,38.56159185,-121.4923822,16TH ST / BROADWAY
344,38.57240323,-121.4856804,1701 O ST
345,38.61124309,-121.4755625,NORTHGATE BLVD / W EL CAMINO AVE
346,38.54106323,-121.47576000000001,SUTTERVILLE RD / FRANKLIN BLVD
347,38.60986284,-121.45905420000001,2378 GROVE AVE
348,38.542611,-121.4443687,3500 53RD ST
349,38.58052209,-121.49862479999999,545 K ST
350,38.47764806,-121.4891676,211 HEMFORD CIR
351,38.65735092,-121.51026759999999,4680 NATOMAS BLVD
352,38.63862878,-121.3815598,3555 AUBURN BLVD
353,38.62198839,-121.4461582,ACACIA AVE / RIO LINDA BLVD
354,38.63862878,-121.3815598,3555 AUBURN BLVD
355,38.62219451,-121.43821100000001,1253 ACACIA AVE
356,38.54940296,-121.4091389,HOWE AVE / FOLSOM BLVD
357,38.63040165,-121.47802959999999,725 SAN JUAN RD
358,38.51332326,-121.43148359999999,6025 DIAS AVE
359,38.62875561,-121.5085108,3348 DRY BRANCH CT
360,38.58184562,-121.50116570000002,547 L ST
361,38.51030591,-121.47879209999999,47TH AVE / WOODBINE AVE
362,38.62982199,-121.4414625,1111 LOS ROBLES BLVD
363,38.57997771,-121.4978345,700 K ST
364,38.65899218,-121.46001559999999,10 FIG LEAF CT
365,38.65023973,-121.50850259999999,4400 TRUXEL RD
366,38.53114891,-121.4223993,4901 ALCOTT DR
367,38.51852,-121.475971,2881 38TH AVE
368,38.45790447,-121.43708600000001,8256 VILLAGE CREEK WAY
369,38.67549475,-121.4977777,260 ODELL CIR
370,38.47322263,-121.4250682,7821 ALTA VALLEY DR
371,38.52507079,-121.41993870000002,BELLEVIEW AVE / FRUITRIDGE RD
372,38.63253761,-121.42571219999999,1776 SOUTH AVE
373,38.64688728,-121.41406609999999,2224 BELL AVE
374,38.49297696,-121.50712859999999,7293 FARM DALE WAY
375,38.47920034,-121.4638793,7661 SKIROS WAY
376,38.57881567,-121.4970836,8TH ST / L ST
377,38.61402379,-121.49261440000001,2660 STONECREEK DR
378,38.49852712,-121.47422730000001,YREKA AVE / CANYON TREE DR
379,38.58053662,-121.4906312,906 12TH ST
380,38.61499899,-121.423449,1861 GLENROSE AVE
381,38.5704109,-121.4841033,19TH ST / P ST
382,38.57704873,-121.4812324,19TH ST / J ST
383,38.48308908,-121.47900120000001,2451 MEADOWVIEW RD
384,38.61733037,-121.510595,2828 AQUINO DR
385,38.62753184,-121.47553020000001,NORTHGATE BLVD / RIO TIERRA AVE
386,38.65357208,-121.50951270000002,4500 TRUXEL RD
387,38.6208506,-121.47001750000001,300 CURRAN AVE
388,38.56363425,-121.4885101,18TH ST / V ST W ST ALY
389,38.62053806,-121.4489382,757 ALAMOS AVE
390,38.60765045,-121.4504831,2304 OAKMONT ST
391,38.57900945,-121.489911,1230 J ST
392,38.629651700000004,-121.47552859999999,NORTHGATE BLVD / SAN JUAN RD
393,38.473580299999995,-121.4443013,4940 MACK RD
394,38.61110308,-121.46180259999998,EDGEWATER RD / EL CAMINO AVE
395,38.66166376,-121.45585919999999,426 CLAIRE AVE
396,38.64420903,-121.5129034,4101 INNOVATOR DR
397,38.54944953,-121.4614493,3962 3RD AVE
398,38.50098733,-121.41042,8025 WAGON TRAIL WAY
399,38.62255411,-121.45602120000001,412 ARCADE BLVD
400,38.57308322,-121.5075511,219 S ST
401,38.57308322,-121.5075511,215 S ST
402,38.57308322,-121.5075511,217 S ST
403,38.52186986,-121.51169679999998,5720 HOLSTEIN WAY
404,38.61775373,-121.49471940000001,1460 WOODRIDGE OAK WAY
405,38.65467106,-121.4625907,4782 KIT WAY
406,38.49502703,-121.5030125,1401 TIVERTON AVE
407,38.61867245,-121.44812659999998,LAS PALMAS AVE / ALTOS AVE
408,38.46101961,-121.41412700000001,8120 TIMBERLAKE WAY
409,38.48531018,-121.5356226,7530 RUSH RIVER DR
410,38.64336682,-121.42168590000001,99 VILLAGE CIR
411,38.59667389,-121.50569820000001,JIBBOOM ST / RICHARDS BLVD
412,38.55513128,-121.47286609999999,1ST AVE / ALHAMBRA BLVD
413,38.52512948,-121.4487903,5560 MCGLASHAN ST
414,38.57372161,-121.48267320000001,19TH ST / CAPITOL AVE
415,38.50290045,-121.48192479999999,6815 24TH ST
416,38.66172026,-121.52760500000001,4918 KOKOMO DR
417,38.58048952,-121.4715453,2412 E ST
418,38.60055347,-121.49857490000001,610 BERCUT DR
419,38.55463027,-121.41164140000001,7767 LA RIVIERA DR
420,38.5722972,-121.4773354,23RD ST / CAPITOL AVE
421,38.65300918,-121.4618713,4673 DANROTH DR
422,38.52845688,-121.51288570000001,1245 27TH AVE
423,38.48972495,-121.50244850000001,1470 MATHEWS WAY
424,38.57905171,-121.4976906,715 L ST
425,38.51382164,-121.52692340000002,6230 GREENHAVEN DR
426,38.63684482,-121.44233529999998,1045 GRAND AVE
427,38.68251335,-121.5015993,1824 DAWNELLE WAY
428,38.61586018,-121.4445924,950 ELEANOR AVE
429,38.53402736,-121.4978746,4555 FRANCIS CT
430,38.53402736,-121.4978746,4555 FRANCIS CT
431,38.53432365,-121.488409,2170 20TH AVE
432,38.63908268,-121.4042501,3900 ROSEVILLE RD
433,38.57984491,-121.4669044,416 28TH ST
434,38.63535473,-121.4622882,3800 DIDCOT CIR
435,38.63365507,-121.50033400000001,TRUXEL RD / I 80 EB
436,38.51928736,-121.38891650000001,8531 THYS CT
437,38.56010621,-121.4867588,BROADWAY / 20TH ST
438,38.5404985,-121.42122579999999,7024 MAITA CIR
439,38.54219716,-121.4673115,3526 37TH ST
440,38.53494151,-121.43359779999999,61ST ST / 19TH AVE
441,38.53243835,-121.4139778,7767 21ST AVE
442,38.52718667,-121.47124769999999,5303 FRANKLIN BLVD
443,38.62688953,-121.52793740000001,3180 GUADALAJARA WAY
444,38.5923559,-121.4926811,N B ST / N 7TH ST
445,38.61199425,-121.4244182,1820 FRIENZA AVE
446,38.49397262,-121.50751310000001,48 ROSE MEAD CIR
447,38.62145778,-121.49973,1671 PEBBLEWOOD DR
448,38.60929375,-121.4404159,SELMA ST / DIXIEANNE AVE
449,38.57920289,-121.49394299999999,10TH ST / K ST
450,38.57965854,-121.4681757,27TH ST / E ST
451,38.48235122,-121.45069939999999,4520 BROOKFIELD DR
452,38.47704073,-121.5231254,POCKET RD / COLEMAN RANCH WAY
453,38.62612259,-121.50472040000001,BANDON WAY / DEVRI CT
454,38.4797218,-121.440072,CENTER PKWY / LERNER WAY
455,38.57882476,-121.4878834,14TH ST / J ST
456,38.51839666,-121.3965716,15 BUSINESS PARK WAY
457,38.67803627,-121.5363804,780 GREG THATCH CIR
458,38.65333642,-121.5363135,4500 TYNEBOURNE ST
459,38.49417981,-121.5235386,7231 GREENHAVEN DR
460,38.63908268,-121.4042501,3900 ROSEVILLE RD
461,38.58207989,-121.5000936,5TH ST / J ST
462,38.51896869,-121.5205386,1028 LAKE GLEN WAY
463,38.60027317,-121.4252477,1701 ARDEN WAY
464,38.54264475,-121.4703011,10TH AVE / 34TH ST
465,38.53069117,-121.4105872,4969 TORONTO WAY
